
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
100          0            96           3.658        513          26.43        
100          1            371          16.7         1944         105.7        
100          2            343          15.28        1856         100.5        
100          3            358          15.3         1864         102.2        
100          4            357          16.08        1902         102.4        
100          5            181          8.265        900          49.79        
100          6            180          8.016        956          51.98        
100          7            158          6.902        893          48.03        
100          8            194          8.249        940          50.96        
100          9            190          8.315        916          50.57        
100          10           197          9.09         831          44.78        
100          11           169          7.588        875          48.22        
100          12           183          8.582        886          48.24        
100          13           198          8.375        851          45.2         
100          14           186          7.538        856          47.93        
100          15           182          8.672        866          47.04        
100          16           201          8.483        870          47.96        
100          17           186          8.588        870          46.96        
100          18           213          9.935        860          47.39        
100          19           178          7.984        906          49.86        
100          20           163          7.259        867          45.89        
100          21           366          16.71        1908         105.4        
100          22           361          16.41        1983         107.4        
100          23           346          15.84        1874         100          
100          24           380          17.03        1951         103.9        
100          25           104          4.402        508          24.34        
200          0            114          4.784        606          30.24        
200          1            393          19.02        2067         114.2        
200          2            377          17.67        2016         112.1        
200          3            432          20.14        2071         116.6        
200          4            442          21.23        2077         115.3        
200          5            186          9.039        978          55.1         
200          6            202          10.06        1030         56.59        
200          7            189          8.825        999          56.08        
200          8            210          10           1049         59.5         
200          9            218          10.15        998          56.13        
200          10           231          11.57        1005         57.39        
200          11           203          8.76         983          53.11        
200          12           217          10.66        936          52.14        
200          13           212          9.943        961          54.5         
200          14           205          9.425        996          55.5         
200          15           213          9.801        1018         57.05        
200          16           220          11.26        1011         55.78        
200          17           210          9.704        999          55.64        
200          18           235          11.51        994          56.07        
200          19           205          10.04        961          54.33        
200          20           192          8.716        1064         60.02        
200          21           389          18.35        2108         118.9        
200          22           369          17.45        2096         117          
200          23           387          17.86        2045         114.8        
200          24           405          19.68        2071         116.1        
200          25           123          5.15         535          26.74        
300          0            132          6.238        614          32.08        
300          1            427          20.07        2169         120.7        
300          2            427          20.67        2064         113.6        
300          3            400          19.27        2104         118.1        
300          4            390          18.93        2066         116.8        
300          5            183          8.944        1011         56.44        
300          6            205          9.553        1037         59.34        
300          7            196          9.096        1020         57.15        
300          8            199          9.233        978          55.21        
300          9            191          9.889        1032         57.93        
300          10           171          8.472        1025         57.79        
300          11           201          9.91         960          54.1         
300          12           216          10.02        952          53.82        
300          13           186          8.475        919          50.28        
300          14           199          9.12         955          54.18        
300          15           204          10.05        1017         57.57        
300          16           190          9.059        949          52.39        
300          17           208          10.31        957          53.26        
300          18           202          9.629        1028         58.19        
300          19           207          10.32        990          55.56        
300          20           229          11.23        1077         58.52        
300          21           412          19.86        2111         119.7        
300          22           417          19.4         2041         111.9        
300          23           407          19.31        2096         114.2        
300          24           429          20.59        2096         116.7        
300          25           123          5.437        565          27.93        
400          0            128          5.145        596          31.76        
400          1            427          19.97        2044         114          
400          2            416          20.34        2083         118.8        
