
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
100          0            36           1.434        493          25.68        
100          1            151          6.705        1827         99.65        
100          2            139          6.561        1711         93.03        
100          3            155          8.038        1797         98.9         
100          4            124          6.224        1846         100.5        
100          5            74           3.703        854          46.43        
100          6            61           2.914        853          46.18        
100          7            83           3.487        900          47.78        
100          8            73           3.726        884          49.02        
100          9            75           3.74         849          46.2         
100          10           74           3.604        804          45.15        
100          11           64           3.461        816          44.87        
100          12           85           4.136        840          44.65        
100          13           69           2.859        870          48.1         
100          14           69           3.098        842          46.9         
100          15           84           4.196        859          46.97        
100          16           61           2.773        910          49.25        
100          17           58           3.156        801          42.37        
100          18           68           3.284        861          45.95        
100          19           79           3.692        858          46.98        
100          20           74           3.46         838          46.22        
100          21           154          7.715        1811         101          
100          22           141          6.655        1791         95.92        
100          23           154          6.646        1800         98.39        
100          24           124          5.969        1733         92.91        
100          25           47           1.976        503          25.09        
200          0            59           2.527        569          29.58        
200          1            119          6.204        1866         105          
200          2            118          6.463        1882         106.6        
200          3            114          6.35         1937         108.9        
200          4            110          5.605        1890         105.9        
200          5            59           2.775        889          49.84        
200          6            73           3.638        921          51.68        
200          7            62           3.072        868          48.96        
200          8            65           3.117        927          51.08        
200          9            68           3.651        903          51.52        
200          10           63           3.004        861          49.18        
200          11           61           3.13         890          48.81        
200          12           44           2.116        917          52.1         
200          13           62           3.372        904          50.77        
200          14           52           2.603        883          49.17        
200          15           62           2.895        879          50.36        
200          16           56           2.936        870          49.87        
200          17           64           3.224        873          49.12        
200          18           73           3.306        928          51.59        
200          19           53           2.864        893          49.32        
200          20           61           2.981        891          51.54        
200          21           135          7.148        1909         108.4        
200          22           126          6.592        1876         107.8        
200          23           121          5.746        1902         107.2        
200          24           129          6.334        1767         100.9        
200          25           60           2.405        512          27.13        
300          0            48           1.971        544          27.68        
300          1            142          7.353        1893         107.1        
300          2            144          7.678        1891         107.8        
300          3            136          6.828        1837         102.5        
300          4            167          8.936        1812         102.2        
300          5            65           3.54         906          52.11        
300          6            45           2.148        933          53.5         
300          7            64           3.484        833          46.97        
300          8            66           3.371        894          51.71        
300          9            83           4.424        935          53.7         
300          10           63           3.201        961          55.48        
300          11           77           3.981        860          49.58        
300          12           73           3.811        850          48.55        
300          13           71           4.064        886          51.34        
300          14           72           4.061        870          49.83        
300          15           63           3.063        880          50.5         
300          16           73           4.104        836          46.44        
300          17           69           3.476        897          50.07        
300          18           74           4.013        901          52.27        
300          19           52           2.852        870          49.13        
