                                            Ti Data
=========||===========================================================================================================================================
  MeV    || 0.01   0.02   0.03   0.04   0.05   0.06   0.07   0.08   0.09   0.10   0.11   0.12   0.13   0.14   0.15   0.16   0.17   0.18   0.19   0.20
=========||===========================================================================================================================================
original ||57563 168727 304991 432942 539980 681068 770492 817362 854911 886584 912769 934324 952138 966315 977619 986398 992740 996922 999250 1000000   
0.5mm    ||   14    487  22967  84882 160097 277428 355927 398595 433610 463608 488582 509271 526450 540114 551088 559592 565759 569807 572052 572784   
0.6mm    ||    7    219  16444  70482 141029 254193 330936 372854 407545 437264 461995 482541 499595 513252 524165 532603 538703 542728 544963 545693   
0.7mm    ||    6    111  12151  59229 124817 233675 308358 349713 383928 413227 437860 458281 475222 488792 499596 508016 514099 518107 520331 521041   
0.8mm    ||    6    48    8871  50032 111419 216838 289796 330333 363976 393001 417359 437623 454472 467975 478722 487117 493178 497184 499406 500114   
0.9mm    ||    5    28    6676  42393  99901 201170 272430 312189 345416 374177 398321 418401 435118 448530 459214 467549 473577 477543 479755 480462   
1.0mm    ||    9    24    4967  36157  89753 187770 256960 296189 329005 357560 381450 401417 418076 431365 442042 450352 456361 460312 462517 463223 
=========||===========================================================================================================================================
                                            Cu Data
=========||===========================================================================================================================================
  MeV    || 0.01   0.02   0.03   0.04   0.05   0.06   0.07   0.08   0.09   0.10   0.11   0.12   0.13   0.14   0.15   0.16   0.17   0.18   0.19   0.20
=========||===========================================================================================================================================
original ||57563 168727 304991 432942 539980 681068 770492 817362 854911 886584 912769 934324 952138 966315 977619 986398 992740 996922 999250 1000000   
0.5mm    ||  341   345    543    7043 30339  94169  146843 179237 208136 234096 256547 275561 291527 304446 314832 322998 328917 332826 334991 335685  
0.6mm    ||  290   295    357    4221 21798  76156  123344 153668 181055 206025 227599 246170 261769 274502 284731 292669 298471 302345 304469 305170  
0.7mm    ||  213   218    241    2456 15761  62434  105050 133055 159251 183256 204307 222440 237783 250258 260308 268217 273963 277786 279891 280572  
0.8mm    ||  215   220    225    1518 11375  51598  90025  116203 140920 164182 184553 202221 217255 229428 239311 247074 252690 256422 258516 259184  
0.9mm    ||  163   164    171    974  8343   42629  77100  101554 125241 147545 167434 184698 199369 211378 221163 228886 234469 238116 240186 240849  
1.0mm    ||  159   164    169    632  6166   35634  66546  89202  111589 133094 152346 169288 183752 195613 205257 212810 218338 222010 224051 224713
