## Scattering And Direct Number/Ratio
## Total Event Number : 1E8

Energy || Scattering+  || Scattering  || Direct
(keV)  || Direct       || Number      || Number
       ||              ||             ||
 20    || 27           || 19          || 8
 30    || 210182       || 157234      || 52948
 40    || 2074081      || 1614566     || 459515
 50    || 5267799      || 4211465     || 1056334
 60    || 8582701      || 6970540     || 1612161
 70    || 11554134     || 9449756     || 2104378
 80    || 14109329     || 11589278    || 2520051
 90    || 16357023     || 13440820    || 2916203
100    || 18286586     || 15017823    || 3268763
110    || 20028817     || 16405926    || 3622891
120    || 21578451     || 17629400    || 3949051
130    || 22973531     || 18707557    || 4265974
140    || 24291134     || 19691192    || 4599942
